Query feature,Corpus Relative,Example,Group,Method,Subgroups,Why?
"Artifacts: encoding junks, truncation, copy-paste residue",No,"""how to fix â€™ encoding issue"", ""vector search perfx00ormance""",Lexogram,REGEX,Corruption,"Artifacts introduce tokens in neither query intent nor corpus vocabulary — pure noise for both modes. Detection enables stripping before routing. If artifacts survive, sparse is especially hurt trying to match junk tokens."
"Corrupted identifiers, error codes in wrong places",No,"""error 0x80070005"" pasted into a product search, ""SKU-X4829Z"" inside a natural language question",Lexogram,REGEX,Corruption,Structured identifiers in wrong context confuse routing: the identifier signals sparse but surrounding NL needs dense. Detecting this mismatch prevents the router from over-indexing on the structured token.
Mono vs multi-lingual,No,"mono: ""wie funktioniert HNSW"" | multi: ""how does the Aufmerksamkeitsmechanismus work""",Lexogram,MODEL,Semantical,Cross-lingual terms break sparse entirely (German tokens won't match English index). Multilingual dense embeddings bridge the gap. Pure cross-lingual → strong dense signal. Code-switching → hybrid if some terms match the corpus language.
Vocabulary mismatch metric,Yes,"""myocardial infarction prognosis"" against a layperson corpus using ""heart attack outcome""",Query-Corpus,ALGO,Semantical,The core sparse weakness measured directly. High mismatch → sparse fails to match relevant documents → dense needed. Low mismatch → sparse is safe and efficient. Arguably the single most important corpus-relative routing signal.
Ambiguity,Yes,"""bank"" (financial vs river), ""jaguar"" (animal vs car), ""apple vision"" (fruit vs tech)",Query-Corpus,MODEL,Semantical,"Ambiguous queries retrieve mixed-intent results with both modes. Dense may cluster around the dominant sense, losing minority senses. Hybrid hedges: sparse catches lexical matches for both senses, dense biases toward the contextually likely one."
Query specificity: broad vs narrow,Yes,"broad: ""machine learning"" | narrow: ""qdrant HNSW ef_construction tuning for 768-dim embeddings""",Query-Corpus,ALGO,Semantical,"Broad queries match many documents — sparse returns too many, dense can rank semantically. Narrow queries need exact token matches — sparse precision dominates. Specificity determines whether the problem is ranking (dense) or matching (sparse)."
Answerability: full / partial / none,Yes,"full: ""what is HNSW?"" against Qdrant docs | partial: ""compare Qdrant vs Pinecone pricing"" (only Qdrant side in corpus) | none: ""tiramisu recipe"" against a vector DB corpus",Query-Corpus,MODEL,Semantical,"Unanswerable queries waste compute regardless of mode. Partial answerability benefits from hybrid (sparse catches answerable parts, dense finds related context). Detecting none early enables fallback instead of returning irrelevant results."
Sentence Markers,,,Parent,,,
Level of Corruption,,,Parent,,,
"Statistical Metrics ",,,Parent,,,
Semantical,,,Parent,,,
Logical Structures,,,Parent,,,
